| column_name                 | data_type                |
| --------------------------- | ------------------------ |
| is_repairman                | boolean                  |
| id                          | uuid                     |
| raw_user_meta_data          | jsonb                    |
| is_super_admin              | boolean                  |
| created_at                  | timestamp with time zone |
| updated_at                  | timestamp with time zone |
| phone_confirmed_at          | timestamp with time zone |
| phone_change_sent_at        | timestamp with time zone |
| confirmed_at                | timestamp with time zone |
| email_change_confirm_status | smallint                 |
| banned_until                | timestamp with time zone |
| reauthentication_sent_at    | timestamp with time zone |
| is_sso_user                 | boolean                  |
| deleted_at                  | timestamp with time zone |
| is_anonymous                | boolean                  |
| id                          | integer                  |
| instance_id                 | uuid                     |
| email_confirmed_at          | timestamp with time zone |
| invited_at                  | timestamp with time zone |
| confirmation_sent_at        | timestamp with time zone |
| recovery_sent_at            | timestamp with time zone |
| email_change_sent_at        | timestamp with time zone |
| last_sign_in_at             | timestamp with time zone |
| raw_app_meta_data           | jsonb                    |
| aud                         | character varying        |
| role                        | character varying        |
| email                       | character varying        |
| encrypted_password          | character varying        |
| phone_change_token          | character varying        |
| username                    | text                     |
| confirmation_token          | character varying        |
| reauthentication_token      | character varying        |
| recovery_token              | character varying        |
| email_change_token_current  | character varying        |
| email_change_token_new      | character varying        |
| email_change                | character varying        |
| phone                       | text                     |
| password                    | text                     |
| phone_change                | text                     |
